Nom,Symbol
Adidas,ADS.DE
Adyen,ADYEN.AS
Ahold Delhaize,AD.AS
Air Liquide,AI.PA
Airbus,AIR.PA
Allianz,ALV.DE
Anheuser‑Busch InBev,ABI.BR
ASML Holding,ASML.AS
Axa,CS.PA
BASF,BAS.DE
Bayer,BAYN.DE
BBVA,BBVA.MC
BNP Paribas,BNP.PA
Danone,BN.PA
Deutsche Börse,DB1.DE
Deutsche Post / DHL,DHL.DE
Deutsche Telekom,DTE.DE
Enel,ENEL.MI
Eni,ENI.MI
EssilorLuxottica,EL.PA
Ferrari,RACE.MI
Flutter Entertainment,FLTR.L
Hermès International,RMS.PA
Iberdrola,IBE.MC
Inditex,ITX.MC
Infineon Technologies,IFX.DE
ING Group,INGA.AS
Intesa Sanpaolo,ISP.MI
Kering,KER.PA
L'Oréal,OR.PA
LVMH,MC.PA
Mercedes‑Benz Group,MBG.DE
Munich Re,MUV2.DE
Nokia,NOKIA.HE
Nordea,NDA-FI.HE
Pernod Ricard,RI.PA
Heineken,HEIA.AS
Safran,SAF.PA
Saint‑Gobain,SGO.PA
Sanofi,SAN.PA
SAP,SAP.DE
Schneider Electric,SU.PA
Siemens,SIE.DE
Stellantis,STLAM.MI
TotalEnergies,TTE.PA
UniCredit,UCG.MI
Vinci,DG.PA
Volkswagen (Préférences),VOW3.DE
Vonovia,VNA.DE
Wolters Kluwer,WKL.AS
